name,gender,known_for_department,original_name,popularity
Andy Day,0,Lighting,Andy Day,4.6303
Laz Alonso,2,Acting,Laz Alonso,4.8212
Taylor Dearden,1,Acting,Taylor Dearden,3.4184
Sergio Sendel,2,Acting,Sergio Sendel,3.7416
Ozan Akbaba,2,Acting,Ozan Akbaba,5.236
Bradley Cooper,2,Acting,Bradley Cooper,4.8109
Lee Do-hyun,2,Acting,이도현,4.8068
Steven Spielberg,2,Directing,Steven Spielberg,4.8058
Scott Adkins,2,Acting,Scott Adkins,4.8004
Gillian Anderson,1,Acting,Gillian Anderson,4.8
Edward Norton,2,Acting,Edward Norton,4.789
Gal Gadot,1,Acting,גל גדות,4.7738
Diana Bracho,1,Acting,Diana Bracho,4.7609
Ji Eun-seo,1,Acting,지은서,4.7484
Seth Rogen,2,Acting,Seth Rogen,4.7468
Andy Samberg,2,Acting,Andy Samberg,4.7403
Taylor Ortega,1,Acting,Taylor Ortega,4.7319
Travis Fimmel,2,Acting,Travis Fimmel,4.7299
Lee Majors,2,Acting,Lee Majors,4.7283
Shiena Yu,1,Acting,Shiena Yu,4.5778
Joseph Gordon-Levitt,2,Acting,Joseph Gordon-Levitt,4.7126
Annette O'Toole,1,Acting,Annette O'Toole,4.7124
Molly Windsor,1,Acting,Molly Windsor,4.7175
Bryant Wood,2,Acting,Bryant Wood,3.9714
Javier Solís,2,Acting,Javier Solís,4.7039
Jami Gertz,1,Acting,Jami Gertz,4.5367
Amirah J,1,Acting,Amirah J,4.1767
Felipe Birriel,2,Acting,Felipe Birriel,3.9448
Milly Alcock,1,Acting,Milly Alcock,6.2478
Kerem Bürsin,2,Acting,Kerem Bürsin,4.4667
Angeline Aril,1,Acting,Angeline Aril,4.1285
Elijah Wood,2,Acting,Elijah Wood,4.0299
Sofía Vergara,1,Acting,Sofía Vergara,4.5199
Julia Doyle,1,Acting,Julia Doyle,4.2342
Lena Headey,1,Acting,Lena Headey,4.846
Robin Nedwell,2,Acting,Robin Nedwell,2.4871
Kwon Eun-bi,1,Acting,권은비,5.0708
Edward Norton,2,Acting,Edward Norton,4.789
Sophie Marceau,1,Acting,Sophie Marceau,4.2032
Shah Rukh Khan,2,Acting,शाहरुख़ ख़ान,4.5769
Hiroshi Abe,2,Acting,阿部寛,4.992
Jesse Plemons,2,Acting,Jesse Plemons,4.4206
Ralph Fiennes,2,Acting,Ralph Fiennes,4.0018
Joseph Gordon-Levitt,2,Acting,Joseph Gordon-Levitt,4.7126
Satomi Ishihara,1,Acting,石原さとみ,4.4697
Satomi Ishihara,1,Acting,石原さとみ,4.7149
Shiena Yu,1,Acting,Shiena Yu,4.7138
Michelle Pfeiffer,1,Acting,Michelle Pfeiffer,4.6346
Ji Eun-seo,1,Acting,지은서,4.7087
Molly Windsor,1,Acting,Molly Windsor,4.7076
A.J. Simmons,2,Acting,A.J. Simmons,4.7071
Bryant Wood,2,Acting,Bryant Wood,4.7069
Shannon Elizabeth,1,Acting,Shannon Elizabeth,4.9074
Lizze Broadway,1,Acting,Lizze Broadway,4.6951
Kate Mara,1,Acting,Kate Mara,4.9642
Noah Centineo,2,Acting,Noah Centineo,4.4213
Aliya Raymundo,1,Acting,Aliya Raymundo,4.8243
